machine_name,model_name,board_name,lot_number,model_code,default_date,volume,rest_volume,line_code,productions,divisions_volume
GC07,FH1502D0F,MAIN集合,1199580-20,Y8469922R,2025-11-21,64.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 64}",2
GC07,FH1433B1F,MAIN集合,1199761-10,Y8469893R,2025-11-21,168.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 168}",1
GC07,FH1268A0F,MAIN集合,1199729-10,Y8469913R,2025-11-21,20.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 20}",5
GC07,FH1268A0F,MAIN集合,1199876-10,Y8469913R,2025-11-21,20.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 20}",5
GC07,FH1268A0F,MAIN集合,1199729-20,Y8469913R,2025-11-21,20.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 20}",5
GC07,FH1268A0F,MAIN集合,1199876-20,Y8469913R,2025-11-21,20.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 20}",5
GC07,FH1816A0F,ﾘﾓｰﾄIO,1199621-10,Y8470088R,2025-11-21,40.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 40}",1
GC07,FH1816A0F,ﾘﾓｰﾄIO,1199621-20,Y8470088R,2025-11-21,40.0,0,GC18,"{datetime.datetime(2025, 11, 25, 0, 0): 40}",1
GC07,PCB-24991 M-INPUT-BOX BD,INPUT-BOX,1199649-10,Y8470095R,2025-11-26,1.0,0,GC25,"{datetime.datetime(2025, 11, 25, 0, 0): 1}",1
GC07,PCB-2499 INPUT-BOX BD,INPUT-BOX,1199646-10,Y8469971R,2025-11-26,192.0,0,GC25,"{datetime.datetime(2025, 11, 25, 0, 0): 192}",1
GC07,PCB-24991 M-INPUT-BOX BD,INPUT-BOX,1199649-20,Y8470095R,2025-11-26,1.0,0,GC25,"{datetime.datetime(2025, 11, 26, 0, 0): 1}",1
GC07,PCB-2499 INPUT-BOX BD,INPUT-BOX,1199646-20,Y8469971R,2025-11-26,192.0,0,GC25,"{datetime.datetime(2025, 11, 26, 0, 0): 192}",1
GC07,PCB-2533 LCD BD,LCD集合,1199923-10,Y8470627R,2025-11-26,100.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 100}",2
GC07,PCB-2498 LCD BD,LCD集合,1199924-10,Y8469966R,2025-11-26,100.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 100}",2
GC07,PCB-2533 LCD BD,LCD集合,1199923-20,Y8470627R,2025-11-26,100.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 100}",2
GC07,PCB-2498 LCD BD,LCD集合,1199924-20,Y8469966R,2025-11-26,100.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 100}",2
GC07,PCB-2502 POWER-SW BD,POWER-SW集合,1199925-10,Y8469968R,2025-11-26,200.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 200}",4
GC07,PCB-2502 POWER-SW BD,POWER-SW集合,1199925-20,Y8469968R,2025-11-26,200.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 200}",4
GC07,PCB-2503 EXTERNAL-IO BD,EXTERNAL-IO集合,1199926-10,Y8469970R,2025-11-26,100.0,0,GC25,"{datetime.datetime(2025, 11, 27, 0, 0): 90, datetime.datetime(2025, 11, 28, 0, 0): 10}",2
GC07,VCB-T2C4,DCP-122Z集合,1200008-10,Y8470730R,2025-12-02,2400.0,0,GT13,"{datetime.datetime(2025, 11, 28, 0, 0): 2400}",20
GC07,VCB-T2C4,DCP-122Z集合,1200010-10,Y8470730R,2025-12-02,800.0,0,GT13,"{datetime.datetime(2025, 11, 28, 0, 0): 800}",20
